id,lat,long,front,rear,front_width,front_height,rear_width,rear_height,heading_front,timestamp
p0001,50.08566777777778,19.911805833333332,F_124939_999.jpg,R_124939_913.jpg,1920,1030,1920,920,15,
p0002,50.08573583333334,19.911835,F_124940_870.jpg,R_124940_966.jpg,1920,1030,1920,920,15,
p0003,50.08581,19.911865,F_124941_833.jpg,R_124941_973.jpg,1920,1030,1920,920,15,
p0004,50.085885000000005,19.911893888888887,F_124943_035.jpg,R_124943_167.jpg,1920,1030,1920,920,14,
p0005,50.086194722222224,19.912022777777775,F_124946_810.jpg,R_124946_901.jpg,1920,1030,1920,920,15,
p0006,50.08627777777778,19.912055,F_124947_914.jpg,R_124947_840.jpg,1920,1030,1920,920,14,
p0007,50.08636277777778,19.912085833333332,F_124948_796.jpg,R_124948_915.jpg,1920,1030,1920,920,13,
p0008,50.08644277777778,19.912118888888887,F_124950_035.jpg,R_124950_846.jpg,1920,1030,1920,920,15,
p0009,50.08676277777778,19.91229583333333,F_124954_000.jpg,R_124954_916.jpg,1920,1030,1920,920,20,
p0010,50.08681583333333,19.912355833333333,F_124955_002.jpg,R_124955_929.jpg,1920,1030,1920,920,36,
