id,lat,long,front,rear,front_width,front_height,rear_width,rear_height,heading_front,timestamp
p0001,50.08566777777778,19.911805833333332,F_124939_999.jpg,R_124939_913.jpg,1920,1030,1920,920,15,
p0002,50.08573583333334,19.911835,F_124940_870.jpg,R_124940_966.jpg,1920,1030,1920,920,15,
p0003,50.08581,19.911865,F_124941_833.jpg,R_124941_973.jpg,1920,1030,1920,920,15,
p0004,50.085885000000005,19.911893888888887,F_124943_035.jpg,R_124943_167.jpg,1920,1030,1920,920,14,
p0005,50.086194722222224,19.912022777777775,F_124946_810.jpg,R_124946_901.jpg,1920,1030,1920,920,15,
p0006,50.08627777777778,19.912055,F_124947_914.jpg,R_124947_840.jpg,1920,1030,1920,920,14,
p0007,50.08636277777778,19.912085833333332,F_124948_796.jpg,R_124948_915.jpg,1920,1030,1920,920,13,
p0008,50.08644277777778,19.912118888888887,F_124950_035.jpg,R_124950_846.jpg,1920,1030,1920,920,15,
p0009,50.08676277777778,19.91229583333333,F_124954_000.jpg,R_124954_916.jpg,1920,1030,1920,920,20,
p0010,50.08681583333333,19.912355833333333,F_124955_002.jpg,R_124955_929.jpg,1920,1030,1920,920,36,
p0011,50.08686277777778,19.912409999999998,F_124956_007.jpg,R_124956_948.jpg,1920,1030,1920,920,37,
p0012,50.08688888888889,19.912465833333332,F_124957_066.jpg,R_124957_922.jpg,1920,1030,1920,920,54,
p0013,50.08690777777778,19.912520833333332,F_124958_057.jpg,R_124958_909.jpg,1920,1030,1920,920,62,
p0014,50.086910833333334,19.912574999999997,F_124959_072.jpg,R_124959_965.jpg,1920,1030,1920,920,85,
p0015,50.08689777777778,19.912634999999998,F_125000_120.jpg,R_125000_877.jpg,1920,1030,1920,920,109,
p0016,50.086870000000005,19.912698888888887,F_125001_100.jpg,R_125001_948.jpg,1920,1030,1920,920,124,
p0017,50.086799722222224,19.912815833333333,F_125004_010.jpg,R_125004_885.jpg,1920,1030,1920,920,133,
p0018,50.08672777777778,19.91284083333333,F_125005_970.jpg,R_125005_815.jpg,1920,1030,1920,920,167,
p0019,50.086690000000004,19.91282083333333,F_125006_937.jpg,R_125006_781.jpg,1920,1030,1920,920,199,
p0020,50.08664777777778,19.912792777777778,F_125007_895.jpg,R_125007_731.jpg,1920,1030,1920,920,203,
p0021,50.086600000000004,19.912767777777777,F_125008_866.jpg,R_125008_713.jpg,1920,1030,1920,920,199,
p0022,50.08654,19.912743888888887,F_125009_953.jpg,R_125009_761.jpg,1920,1030,1920,920,194,
p0023,50.08648083333333,19.912724722222222,F_125010_880.jpg,R_125010_736.jpg,1920,1030,1920,920,192,
p0024,50.086419722222224,19.912698888888887,F_125011_759.jpg,R_125011_635.jpg,1920,1030,1920,920,195,
p0025,50.08636,19.91268583333333,F_125012_625.jpg,R_125012_509.jpg,1920,1030,1920,920,188,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
